instance,as4mocoRun,sbsRun,oracleRun,score,solver_as4moco,solver_sbs,solver_oracle,as4moco_Pipeline,instance_hardness,difference_to_oracle,different_solutions,Fold
mc2022_track1_000.dimacs,0.552,0.235,0.005,2.3782608695652177,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,2.0925625,0.547,ALL_SAME,3
mc2022_track1_001.dimacs,0.295,0.841,0.041,0.3175,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,900.17225,0.254,ALL_SAME,2
mc2022_track1_002.dimacs,0.372,0.496,0.036,0.7304347826086957,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1826875,0.336,ALL_SAME,4
mc2022_track1_003.dimacs,0.25,0.271,0.009,0.9198473282442747,dpmcpre/1pre1mp0,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1433125,0.241,ALL_SAME,1
mc2022_track1_004.dimacs,34.199,8.994,8.994,-1.0,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_INSTANCE,432.38837500000005,25.205,ALL_SAME,2
mc2022_track1_005.dimacs,30.02,12.797,12.559,73.36554621848698,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_BE.sh,SharpSAT-TD-unweighted/default,PER_INSTANCE,604.1018125,17.461,ALL_SAME,2
mc2022_track1_006.dimacs,16.196,3.245,2.662,23.214408233276156,Narsimha-track1v-51fd045537919d/track1_conf1.sh,ExactMC/ExactMC_Arjun.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,846.9385,13.534000000000002,ALL_SAME,1
mc2022_track1_007.dimacs,0.077,0.238,0.009,0.29694323144104806,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/2.sh,PER_SET,27.103312499999998,0.068,ALL_SAME,3
mc2022_track1_008.dimacs,0.037,0.238,0.009,0.1222707423580786,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,25.468249999999998,0.027999999999999997,ALL_SAME,3
mc2022_track1_009.dimacs,0.072,0.264,0.015,0.2289156626506024,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,16.9924375,0.056999999999999995,ALL_SAME,2
