instance,as4mocoRun,sbsRun,oracleRun,score,solver_as4moco,solver_sbs,solver_oracle,as4moco_Pipeline,instance_hardness,difference_to_oracle,different_solutions,Fold
mc2022_track1_000.dimacs,0.56,0.235,0.005,2.41304347826087,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,2.0925625,0.555,ALL_SAME,3
mc2022_track1_001.dimacs,0.531,0.841,0.041,0.6125000000000002,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,900.17225,0.49000000000000005,ALL_SAME,2
mc2022_track1_002.dimacs,61.023,0.496,0.036,132.5804347826087,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_INSTANCE,900.1826875,60.987,ALL_SAME,4
mc2022_track1_003.dimacs,0.25,0.271,0.009,0.9198473282442747,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1433125,0.241,ALL_SAME,1
mc2022_track1_004.dimacs,65.048,8.994,8.994,-1.0,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_INSTANCE,432.38837500000005,56.054,ALL_SAME,2
mc2022_track1_005.dimacs,83.639,12.797,12.559,298.6554621848723,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_BE.sh,SharpSAT-TD-unweighted/default,PER_INSTANCE,604.1018125,71.08,ALL_SAME,2
mc2022_track1_006.dimacs,23.188,3.245,2.662,35.207547169811306,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_Arjun.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,846.9385,20.526,ALL_SAME,1
mc2022_track1_007.dimacs,0.039,0.238,0.009,0.13100436681222707,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/2.sh,PER_SET,27.103312499999998,0.03,ALL_SAME,3
mc2022_track1_008.dimacs,0.037,0.238,0.009,0.1222707423580786,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,25.468249999999998,0.027999999999999997,ALL_SAME,3
mc2022_track1_009.dimacs,0.041,0.264,0.015,0.10441767068273093,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,16.9924375,0.026000000000000002,ALL_SAME,2
mc2022_track1_010.dimacs,0.03,0.255,0.01,0.08163265306122448,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,27.541687500000002,0.019999999999999997,ALL_SAME,2
mc2022_track1_011.dimacs,0.028,0.241,0.011,0.07391304347826089,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,28.996000000000002,0.017,ALL_SAME,2
