instance,as4mocoRun,sbsRun,oracleRun,score,solver_as4moco,solver_sbs,solver_oracle,as4moco_Pipeline,instance_hardness,difference_to_oracle,different_solutions,Fold
mc2022_track1_000.dimacs,0.349,0.235,0.005,1.4956521739130435,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,2.0925625,0.344,ALL_SAME,3
mc2022_track1_001.dimacs,0.333,0.841,0.041,0.3650000000000001,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,900.17225,0.29200000000000004,ALL_SAME,2
mc2022_track1_002.dimacs,0.36,0.496,0.036,0.7043478260869566,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1826875,0.324,ALL_SAME,4
mc2022_track1_003.dimacs,0.234,0.271,0.009,0.8587786259541984,dpmcpre/1pre1mp1,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1433125,0.225,ALL_SAME,1
mc2022_track1_004.dimacs,33.984,8.994,8.994,-1.0,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_INSTANCE,432.38837500000005,24.990000000000002,ALL_SAME,2
mc2022_track1_005.dimacs,28.102,12.797,12.559,65.30672268907527,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_BE.sh,SharpSAT-TD-unweighted/default,PER_INSTANCE,604.1018125,15.543000000000001,ALL_SAME,2
mc2022_track1_006.dimacs,23.538,3.245,2.662,35.807890222984554,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_Arjun.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,846.9385,20.876,ALL_SAME,1
mc2022_track1_007.dimacs,0.027,0.238,0.009,0.07860262008733626,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/2.sh,PER_SET,27.103312499999998,0.018000000000000002,ALL_SAME,3
mc2022_track1_008.dimacs,0.027,0.238,0.009,0.07860262008733626,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,25.468249999999998,0.018000000000000002,ALL_SAME,3
mc2022_track1_009.dimacs,0.042,0.264,0.015,0.10843373493975905,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,16.9924375,0.027000000000000003,ALL_SAME,2
mc2022_track1_010.dimacs,0.043,0.255,0.01,0.13469387755102039,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,27.541687500000002,0.032999999999999995,ALL_SAME,2
mc2022_track1_011.dimacs,0.027,0.241,0.011,0.06956521739130435,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,28.996000000000002,0.016,ALL_SAME,2
mc2022_track1_012.dimacs,0.311,0.234,0.024,1.3666666666666665,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,248.5510625,0.287,ALL_SAME,5
mc2022_track1_013.dimacs,0.031,0.24,0.016,0.06696428571428571,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,16.658875,0.015,ALL_SAME,3
mc2022_track1_014.dimacs,0.026,0.258,0.012,0.056910569105691054,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc_r2/track1,PER_SET,27.3455625,0.013999999999999999,ALL_SAME,4
mc2022_track1_015.dimacs,0.036,0.251,0.009,0.11157024793388429,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,24.056625,0.026999999999999996,ALL_SAME,2
mc2022_track1_016.dimacs,0.075,0.6,0.035,0.07079646017699115,dpmcpre/1pre1mp1,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,73.69425,0.039999999999999994,ALL_SAME,1
mc2022_track1_017.dimacs,0.058,0.25,0.039,0.09004739336492892,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,28.4150625,0.019000000000000003,ALL_SAME,2
mc2022_track1_018.dimacs,0.218,0.691,0.102,0.19694397283531412,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,36.1475,0.116,ALL_SAME,3
mc2022_track1_019.dimacs,0.373,0.418,0.099,0.858934169278997,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,52.179,0.274,ALL_SAME,2
mc2022_track1_020.dimacs,0.622,4.059,0.396,0.06169806169806169,d4/default.sh,ExactMC/ExactMC_BE.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,252.4069375,0.22599999999999998,ALL_SAME,5
mc2022_track1_021.dimacs,0.161,0.458,0.064,0.24619289340101522,d4/default.sh,ExactMC/ExactMC_BE.sh,c2d/default,PER_SET,56.693875000000006,0.097,ALL_SAME,5
mc2022_track1_022.dimacs,0.039,0.251,0.039,0.0,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,29.583625,0.0,ALL_SAME,3
mc2022_track1_023.dimacs,6.508,0.586,0.586,-1.0,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_SET,549.993625,5.922,ALL_SAME,3
mc2022_track1_024.dimacs,0.03,0.251,0.019,0.04741379310344827,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,15.872874999999999,0.011,ALL_SAME,5
mc2022_track1_025.dimacs,0.367,0.543,0.165,0.5343915343915343,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,250.3209375,0.20199999999999999,ALL_SAME,5
