instance,as4mocoRun,sbsRun,oracleRun,score,solver_as4moco,solver_sbs,solver_oracle,as4moco_Pipeline,instance_hardness,difference_to_oracle,different_solutions,Fold
mc2022_track1_000.dimacs,0.549,0.235,0.005,2.3652173913043484,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,2.0925625,0.544,ALL_SAME,3
mc2022_track1_001.dimacs,0.415,0.841,0.041,0.4675,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,900.17225,0.374,ALL_SAME,2
mc2022_track1_002.dimacs,1.483,0.496,0.036,3.1456521739130436,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1826875,1.447,ALL_SAME,4
mc2022_track1_003.dimacs,0.397,0.271,0.009,1.4809160305343512,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1433125,0.388,ALL_SAME,1
mc2022_track1_004.dimacs,33.388,8.994,8.994,-1.0,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_INSTANCE,432.38837500000005,24.394,ALL_SAME,2
mc2022_track1_005.dimacs,28.356,12.797,12.559,66.37394957983157,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_BE.sh,SharpSAT-TD-unweighted/default,PER_INSTANCE,604.1018125,15.797000000000002,ALL_SAME,2
mc2022_track1_006.dimacs,20.562,3.245,2.662,30.703259005145792,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_Arjun.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,846.9385,17.900000000000002,ALL_SAME,1
mc2022_track1_007.dimacs,0.356,0.238,0.009,1.51528384279476,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,TwG/2.sh,PER_SET,27.103312499999998,0.347,ALL_SAME,3
mc2022_track1_008.dimacs,0.066,0.238,0.009,0.24890829694323147,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,25.468249999999998,0.057,ALL_SAME,3
mc2022_track1_009.dimacs,0.138,0.264,0.015,0.49397590361445787,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,16.9924375,0.12300000000000001,ALL_SAME,2
mc2022_track1_010.dimacs,0.048,0.255,0.01,0.15510204081632653,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,27.541687500000002,0.038,ALL_SAME,2
mc2022_track1_011.dimacs,0.065,0.241,0.011,0.2347826086956522,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,28.996000000000002,0.054000000000000006,ALL_SAME,2
mc2022_track1_012.dimacs,0.315,0.234,0.024,1.3857142857142855,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,248.5510625,0.291,ALL_SAME,5
mc2022_track1_013.dimacs,0.084,0.24,0.016,0.3035714285714286,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,16.658875,0.068,ALL_SAME,3
mc2022_track1_014.dimacs,0.058,0.258,0.012,0.18699186991869918,c2d/default,ExactMC/ExactMC_Arjun.sh,gpmc_r2/track1,PER_SET,27.3455625,0.046,ALL_SAME,4
mc2022_track1_015.dimacs,0.066,0.251,0.009,0.23553719008264465,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,24.056625,0.057,ALL_SAME,2
mc2022_track1_016.dimacs,0.027,0.6,0.035,-0.014159292035398239,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,73.69425,-0.008000000000000004,ALL_SAME,1
mc2022_track1_017.dimacs,0.095,0.25,0.039,0.26540284360189575,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,28.4150625,0.056,ALL_SAME,2
mc2022_track1_018.dimacs,0.27,0.691,0.102,0.2852292020373515,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,36.1475,0.16800000000000004,ALL_SAME,3
mc2022_track1_019.dimacs,0.513,0.418,0.099,1.2978056426332292,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,52.179,0.41400000000000003,ALL_SAME,2
mc2022_track1_020.dimacs,0.626,4.059,0.396,0.06279006279006279,d4/default.sh,ExactMC/ExactMC_BE.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,252.4069375,0.22999999999999998,ALL_SAME,5
mc2022_track1_021.dimacs,0.158,0.458,0.064,0.23857868020304568,d4/default.sh,ExactMC/ExactMC_BE.sh,c2d/default,PER_SET,56.693875000000006,0.094,ALL_SAME,5
mc2022_track1_022.dimacs,0.112,0.251,0.039,0.34433962264150947,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,29.583625,0.07300000000000001,ALL_SAME,3
mc2022_track1_023.dimacs,3.486,0.586,0.586,-1.0,d4/default.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_SET,549.993625,2.9000000000000004,ALL_SAME,3
